COMMENT_ID,AUTHOR,COMMENT
z12rwfnyyrbsefonb232i5ehdxzkjzjs2,Lisa Wellas,+447935454150 lovely girl talk to me xxx﻿
z130wpnwwnyuetxcn23xf5k5ynmkdpjrj04,jason graham,I always end up coming back to this song<br />﻿
z13vsfqirtavjvu0t22ezrgzyorwxhpf3,Ajkal Khan,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿"
z12wjzc4eprnvja4304cgbbizuved35wxcs,Dakota Taylor,Cool﻿
z13xjfr42z3uxdz2223gx5rrzs3dt5hna,Jihad Naser,Hello I&#39;am from Palastine﻿
z133yfmjdur4dvyjr04ceh2osl2fvngrqi4,Darrion Johnson,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿
z12zgrw5furdsn0sc233hfwavnznyhicq,kyeman13,Go check out my rapping video called Four Wheels please ❤️﻿
z12vxdzzds2kzzrzq04cdjc4ozq2szuyl5o,Damax,Almost 1 billion﻿
z12gxdortqzwhhqas04cfjrwituzghb5tvk0k,Muhammad Asim Mansha,Aslamu Lykum... From Pakistan﻿
z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k,JuanPa Rap,Eminem is idol for very people in España and Mexico or Latinoamerica﻿
z13si1rx3nnbshdoj04cinipcqzwsdhq0bc,Mjt12,Help me get 50 subs please ﻿
z13hwbshcnrhztsw204cirfgvregzvywmag,emily 13,i love song :)﻿
z13nsd141x24yjh2m224xvlhisrqet4pj04,TheJohnRage,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿"
z132ib3jvvqvzjj5t04ccrequzy5jhvr5ps0k,William Davis,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿
z13puxp4xp35shhfy22bxx5pqlecxhqgc04,Ashleigh_ Baise,The boyfriend was Charlie from the TV show LOST ﻿
z13kyh3gdnnzdvxjt04ch5xzwlvjyfujpik,Lauralyn Karoll,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿"
z12lhjtxlsisx55yu04cjp3x2mnmu34bh3g,Shirley Lim,Take a look at this video on YouTube:﻿
z13hhxajgrnldjmn523dsjqynsewilbm1,TMCB production (Instrumental Beats),Check out our Channel for nice Beats!!﻿
z12xurdj0qznephwg04cftq5rszgxdnq0xw0k,Sylith,Rihanna and Eminem together are unstoppable.﻿
z13isdtoikvzjlkij04cjxchbpv1tvpgmx40k,nepaladventure,Check out this playlist on YouTube:﻿
z13qf1qgcyigy14mx223iv2yqxb5ebze4,Pugnsuit,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿
z13tyhj4drvcxzllt222tvwp3qi1e34ju04,Inga Lomidze,like please﻿
z12fcjxowubrsnwx104cftlgcpfzw5uwbug0k,Izana,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿"
z12yg3dp5kf0hnbdj23aftm4iovygt32c,Daniel Klous,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿
z13xstfb3srrybsb404ccl5w4u3gin4pliw,Martin Gébele MUSIC,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿"
z12nebyotsjgdxusi22nwj04pzypjx4ti,Crudgy,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿
z13ke3jo2mejdbj3v22rslzzwuekwhsch,Joyce Jones,Check out this playlist on YouTube:﻿
z13gvxshio2lcx1fx22oc3jplwmhzrpsz,Hambro,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿
z12litdrrkzmg51kn23ghl2rctvttp0c4,LIL TEZ,"You exactly who u want to be,watching your favourite rappers on tv﻿"
z13mwrzgekanfjbnw23pgfwzwzf4wxgwv04,Maryf,Rihanna is absolutely gorgeous in this video.﻿
z12wefdg1w2sz3ase22tsd4j2xn1ybakp,There's No Saving Grace (FreakOffLeash),Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿
z12phhz5snysw5yn122xtjtiennhtlqc5,Kishore sl,"Don&#39;t love someone soo much, love the way u lie..﻿"
z121djwacsnbjhafe22nfvj5fuqti5i0t,Dragon Addict,one of the BEST SONGS in music history﻿
z12txfjzxvnaez5ov04cgjkbhnrnt3nzv04,Belinda Mitchell,Check out this playlist on YouTube:﻿
z125zruy3pfweniga04celt52kjjjxvgik40k,Klaudia Marysol,Check out this video on YouTube:﻿
z133sdliqlyvjldpn04cdxfhltqeen2gtsc0k,Rachael Knapp,Check out this video on YouTube:﻿
